ticker,base_symbol,name,coingecko_id,market_cap_rank,market_cap,fdv,volume_24h,price_change_24h,categories,last_updated
ADAUSDT,ada,Cardano,cardano,11,32100077373,39549766287,1134120406,-2.09839,Smart Contract Platform;Layer 1 (L1);Cardano Ecosystem;Alleged SEC Securities;Proof of Stake (PoS);GMCI Layer 1 Index;GMCI 30 Index;GMCI Index;Made in USA;Coinbase 50 Index,2025-09-21 12:53:36
BNBUSDT,bnb,BNB,binancecoin,5,145152955634,145152955634,3378301609,1.78921,Smart Contract Platform;Exchange-based Tokens;BNB Chain Ecosystem;Centralized Exchange (CEX) Token;Layer 1 (L1);Ethereum Ecosystem;Alleged SEC Securities;FTX Holdings;Proof of Stake (PoS);GMCI Layer 1 Index;GMCI 30 Index;GMCI Index,2025-09-21 12:56:39
DOTUSDT,dot,Polkadot,polkadot,35,6485400585,6485400585,215475405,-3.49229,Smart Contract Platform;Polkadot Ecosystem;BNB Chain Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Base Ecosystem;Proof of Stake (PoS);Layer 0 (L0);Pantera Capital Portfolio;GMCI 30 Index;GMCI Index;Made in USA;Coinbase 50 Index;Governance,2025-09-21 12:58:15
SOLUSDT,sol,Solana,solana,6,128507679237,144364478085,3464685098,-1.52403,Smart Contract Platform;Solana Ecosystem;Layer 1 (L1);Alleged SEC Securities;FTX Holdings;Multicoin Capital Portfolio;Proof of Stake (PoS);Alameda Research Portfolio;Andreessen Horowitz (a16z) Portfolio;GMCI Layer 1 Index;GMCI 30 Index;Delphi Ventures Portfolio;GMCI Index;Polychain Capital Portfolio;Made in USA;Coinbase 50 Index,2025-09-21 12:55:23
XRPUSDT,xrp,XRP,ripple,3,177361004320,296661095409,2810906354,-0.77462,FTX Holdings;Pantera Capital Portfolio;Andreessen Horowitz (a16z) Portfolio;XRP Ledger Ecosystem;GMCI 30 Index;Blockchain Capital Portfolio;GMCI Index;Made in USA;Coinbase 50 Index,2025-09-21 12:58:00
